Review,keyphrases,Topic_Name,Score,Document_ID
Have to learn moreover good.Need more payment,more payment,Work-Life Balance,0.0,1
"Work culture is very good, employees friendly. Nothing to dislike","Work culture, employees",Company Culture and Management,0.2656525871592213,2
Everything is good. I have been working since 1 year. Nothing to dislike,1 year,Work-Life Balance,0.0,3
I intrested in your company. Hard work load,"your company, Hard work load",Company Culture and Management,0.1921083071803165,4
"Not more. Company policy , work culture, Hr policy,","Company policy, work culture, Hr policy",Company Culture and Management,0.3163523367562843,5
Good salary. 5.5 days working. No flexibility in timings. Poor work culture. Bossisum.,"Good salary, No flexibility, timings, Poor work culture, Bossisum",Salary and Benefits,0.17065184971565253,6
Group working fine. Non of them,"Group, Non",Work-Life Balance,0.0,7
Deal with high volume package. Nothing,high volume package,Work-Life Balance,0.0,8
Job security and working environment. Employee benefits Work life balance,"Job security, working environment, Employee, Work life balance",Work-Life Balance,0.5482526923391159,9
I m working in Adani Sportsline And I do best for my Company and I love my Adani Company thank you,"Adani Sportsline, my Company, my Adani Company",Company Culture and Management,0.22944492702189928,10
Yes. 6 Days working policy,Yes. 6 Days working policy,Work-Life Balance,0.0,11
"Team work. Nothing, because I just started.",Team work,Work-Life Balance,0.2594964641492548,12
NA. Saturday half day working,"NA, Saturday",Work-Life Balance,0.0,13
So many things. IJP process,"So many things, IJP process",Work-Life Balance,0.0,14
Good. Nothing till time at,time,Work-Life Balance,0.0,15
"Nothing, pathetic company. Everything is more than worst",pathetic company,Company Culture and Management,0.30266423226280154,16
Reputed company. Manpower is very less,"Reputed company, Manpower",Company Culture and Management,0.2398736588102846,17
"Budget available to take initiatives. Culture, lack of strategy, Saturday working","Budget, initiatives, Culture, lack, strategy",Company Culture and Management,0.1816516346734113,18
Yes. No I am happy working with adani Group,adani Group,Work-Life Balance,0.0,19
"Work culture, at the unit was good irrespective of group. Nothing, all was avg and above.","Work culture, the unit, group, avg",Company Culture and Management,0.17262121978141468,20
Nothing. Work culture family life,Work culture family life,Work-Life Balance,0.47442915162880894,21
Excellent work. Management it's weak,Excellent work,Work-Life Balance,0.2594964641492548,22
I wish to last 10 years ago that i recieve job in adani group so i wish to extremely in adani group. I can not to wish that came to problem in our work.,"job, adani group, adani group, problem, our work",Job Security,0.15847570181671775,23
Employee satisfaction. Nothing to say for negative all is well,Employee satisfaction,Skill Development and Work Satisfaction,0.2735095541241264,24
Skill development through training module. NA,"Skill development, training module, NA",Skill Development and Work Satisfaction,0.3547627604632765,25
Overall very nice. Nothing to dislike,,Work-Life Balance,0.0,26
Leave and medical policy and sustainability of group. Promotion and increment policy,"Leave and medical policy, sustainability, group, Promotion, increment policy",Salary and Benefits,0.059966192747439785,27
Good. Job security not given,Job security,Job Security,1.0000000000000002,28
Adani forwarding limited My best job 💪. No,My best job,Job Security,0.3233157908818522,29
Job security. Untimely promotions and recognitions,"Job security, Untimely promotions, recognitions",Job Security,0.5820953359994986,30
yes. i am working interested,,Work-Life Balance,0.0,31
