Review,,Rating,Document_ID,Dominant_Topic,Topic_Perc_Contrib,Topic_Name,Topic_Keywords
My favourite list has issues i add items and can't open it and have massge you have empty list,,1,2,2,0.9555,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Extremely bad as couldn't sign in for my account every time it says error try again,,1,3,0,0.872,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Very disappointed by using the shukran wallet pay. I haven't used it yet but then its showing tht i already used it. Became ZERO balance without purchasing anything. Im running out of sale prices to keep waiting to fix this unacceptable matter.,,1,4,0,0.8866,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Whenever you switch to another application then comes back to it. It redirects you to the first page which is frustrating,,2,5,1,0.9273,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I have been using this app for some time and had been enjoying the online purchasing and opt out the click and collect option for the delivery. However now it has changed the collection points to limited areas which is inconvenient for me. Only several areas are chosen as collection points unlike before there was various malls were included as collection points. I hope the changes are revised to serve the customer better or else it is going to lose a customer.,,1,6,0,0.834,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
splash is best place to shop.i have a 15 years shopping experience with splash.i love splash i never visit other place shop my clothes,,5,7,1,0.9598,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Sometimes it works very bad. Mostly I go through down, I enter and see how is item. And then when I go out it goes to the first automatically. It can irritate customers. Secondly I wanted to return item and it is hard to find something which you want. The problem is the words and and places which you used are different than others and it can be cause to confuse consumers.",,3,8,1,0.9511,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I was very impressed with the lightining speed of their delivery service in less than 24 hours. Well done keep up the good work.,,5,9,0,0.9581,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
I ordered 12 december 2023 before 2 days They deduct my money from shukran pay wallet and my order not confirmed they provided me order number via text message i sent it same order number to splash but they said incorrect order number they provided me the same number how i get money back i did complaint many times but they are not solve my broblem and not return my money yet,,1,10,0,0.8013,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
The app isn't working on my phone. It's not moving anywhere just seeing the front page only.,,1,11,2,0.9674,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
